	1.00	2.00	3.00
A01	-1.86	0.00	0.12
A02	1.69	-2.88	0.00
A03	-1.13	0.00	1.74
A04	0.00	-2.80	0.88
A05	0.27	-4.60	0.00
A06	0.00	-5.13	0.94
A07	0.18	-3.87	0.00
A08	1.14	-2.36	0.00
A09	1.26	-2.58	0.00
A10	0.59	-1.57	0.00
A11	1.02	-2.11	0.00
A12	0.00	-1.51	1.08
B01	0.00	-0.08	1.64
B02	1.27	-2.29	0.00
B03	0.45	-2.73	0.00
B04	0.00	-3.32	0.37
B05	0.00	-5.80	0.23
B06	1.44	-2.66	0.00
B07	0.66	-3.19	0.00
B08	0.78	-5.54	0.00
B09	0.00	-2.76	0.35
B10	0.94	-2.77	0.00
B11	0.00	-1.31	0.70
B12	-2.57	0.00	2.38
C01	0.84	0.00	-0.20
C02	1.74	-2.27	0.00
C03	0.00	-2.55	1.04
C04	0.00	-2.15	0.02
C05	0.00	-1.28	2.68
C06	-3.35	0.00	2.88
C07	0.00	-0.75	0.27
C08	0.00	-2.82	0.00
C09	0.00	-1.63	1.53
C10	0.00	-2.70	0.12
C11	3.83	-3.33	0.00
C12	1.75	-2.89	0.00
D01	-0.07	0.00	1.59
D02	0.00	-2.09	2.04
D03	-2.19	0.00	1.35
D04	2.48	-1.00	0.00
D05	0.00	-0.19	0.73
D06	0.47	-3.54	0.00
D07	0.81	-3.23	0.00
D08	0.29	-2.89	0.00
D09	1.40	-3.40	0.00
D10	0.91	-2.06	0.00
D11	1.38	-2.65	0.00
D12	0.00	-1.40	0.99
E01	0.97	-0.49	0.00
E02	0.50	-2.25	0.00
E03	0.00	-2.69	0.30
E04	3.09	-2.71	0.00
E05	0.90	-0.54	0.00
E06	0.00	-2.23	0.73
E07	0.00	-4.18	0.10
E08	-1.65	0.00	4.16
E09	0.61	-2.72	0.00
E10	-1.52	0.00	1.64
E11	0.74	-1.59	0.00
E12	0.00	-4.13	1.51
F01	4.18	-3.50	0.00
F02	-0.50	0.00	2.02
F03	2.75	-3.07	0.00
F04	0.41	-2.29	0.00
F05	1.72	-3.72	0.00
F06	0.96	-2.88	0.00
F07	0.00	-3.79	0.15
F08	1.26	-3.66	0.00
F09	1.00	-2.07	0.00
F10	0.77	-2.62	0.00
F11	1.06	-2.48	0.00
F12	0.64	-2.44	0.00
G01	1.56	-2.68	0.00
G02	1.70	-2.04	0.00
G03	0.67	-2.74	0.00
G04	1.43	-2.84	0.00
G05	0.82	-3.46	0.00
G06	-2.23	0.00	3.17
G07	0.00	-2.21	0.84
G08	0.00	-2.92	0.09
G09	0.00	-0.76	1.44
G10	0.00	-2.55	0.20
G11	0.00	-1.01	1.22
G12	0.00	-2.12	1.12
H01	0.54	-2.96	0.00
H02	0.00	-2.11	0.08
H03	0.00	-3.28	0.11
H04	1.12	-2.95	0.00
H05	0.45	-2.39	0.00
H06	0.00	0.00	0.00
H07	0.00	0.00	0.00
H08	0.00	0.00	0.00
H09	0.00	0.00	0.00
H10	0.19	-2.97	0.00
H11	0.15	-3.10	0.00
H12	0.11	-3.36	0.00
