	1.00 	2.00 	3.00 
A01	-1.28	0.58	0.70
A02	2.09	-2.48	0.40
A03	-1.33	-0.20	1.54
A04	0.64	-2.16	1.52
A05	1.71	-3.16	1.44
A06	1.40	-3.73	2.34
A07	1.41	-2.64	1.23
A08	1.54	-1.95	0.41
A09	1.70	-2.14	0.44
A10	0.92	-1.25	0.33
A11	1.39	-1.75	0.36
A12	0.14	-1.36	1.22
B01	-0.52	-0.60	1.12
B02	1.61	-1.95	0.34
B03	1.21	-1.97	0.76
B04	0.98	-2.33	1.35
B05	1.86	-3.94	2.09
B06	1.85	-2.25	0.41
B07	1.50	-2.35	0.84
B08	2.37	-3.96	1.59
B09	0.80	-1.96	1.16
B10	1.55	-2.16	0.61
B11	0.20	-1.10	0.90
B12	-2.51	0.06	2.44
C01	0.62	-0.21	-0.41
C02	1.92	-2.10	0.18
C03	0.50	-2.04	1.54
C04	0.71	-1.44	0.73
C05	-0.46	-1.75	2.21
C06	-3.20	0.16	3.04
C07	0.16	-0.59	0.43
C08	0.94	-1.88	0.94
C09	0.04	-1.60	1.56
C10	0.86	-1.84	0.98
C11	3.66	-3.50	-0.17
C12	2.13	-2.51	0.38
D01	-0.58	-0.51	1.09
D02	0.02	-2.08	2.06
D03	-1.91	0.28	1.63
D04	1.99	-1.49	-0.50
D05	-0.18	-0.37	0.55
D06	1.50	-2.52	1.02
D07	1.61	-2.42	0.81
D08	1.16	-2.03	0.87
D09	2.07	-2.73	0.67
D10	1.30	-1.68	0.38
D11	1.80	-2.23	0.42
D12	0.14	-1.26	1.13
E01	0.81	-0.65	-0.16
E02	1.08	-1.67	0.58
E03	0.80	-1.89	1.10
E04	2.96	-2.83	-0.13
E05	0.78	-0.66	-0.12
E06	0.50	-1.73	1.23
E07	1.36	-2.82	1.46
E08	-2.49	-0.84	3.32
E09	1.32	-2.02	0.70
E10	-1.56	-0.04	1.60
E11	1.02	-1.31	0.28
E12	0.87	-3.26	2.39
F01	3.95	-3.73	-0.22
F02	-1.00	-0.51	1.51
F03	2.86	-2.97	0.11
F04	1.03	-1.66	0.63
F05	2.39	-3.05	0.67
F06	1.60	-2.24	0.64
F07	1.21	-2.57	1.36
F08	2.06	-2.86	0.80
F09	1.36	-1.72	0.36
F10	1.39	-2.00	0.62
F11	1.53	-2.01	0.47
F12	1.24	-1.84	0.60
G01	1.94	-2.31	0.37
G02	1.81	-1.93	0.11
G03	1.36	-2.05	0.69
G04	1.90	-2.37	0.47
G05	1.70	-2.58	0.88
G06	-2.55	-0.31	2.86
G07	0.46	-1.75	1.29
G08	0.94	-1.98	1.04
G09	-0.23	-0.98	1.21
G10	0.78	-1.77	0.98
G11	-0.07	-1.08	1.15
G12	0.33	-1.78	1.45
H01	1.35	-2.16	0.81
H02	0.68	-1.43	0.76
H03	1.06	-2.22	1.17
H04	1.73	-2.34	0.61
H05	1.10	-1.74	0.65
H06	0.00	0.00	0.00
H07	0.00	0.00	0.00
H08	0.00	0.00	0.00
H09	0.00	0.00	0.00
H10	1.11	-2.04	0.93
H11	1.13	-2.12	0.99
H12	1.19	-2.28	1.09
