	 0H	2H	EC-0H	EC-2H
ACE	 -1.76 	0.11 	-0.11 	0.22 
ADAM17	 2.60 	-1.97 	-0.91 	0.91 
AGT	 -2.00 	-0.87 	0.93 	0.87 
AGTR1	 0.66 	-2.14 	-0.66 	1.54 
ALOX5	 0.37 	-4.50 	-0.10 	0.10 
ANGPT1	 0.20 	-4.93 	-0.20 	1.14 
ANXA5	 0.39 	-3.66 	-0.21 	0.21 
APOE	 0.76 	-2.73 	0.37 	-0.37 
BAX	 1.57 	-2.26 	-0.32 	0.32 
BCL2	 0.57 	-1.60 	0.02 	-0.02 
BCL2L1	 1.19 	-1.94 	-0.16 	0.16 
CALCA	 -0.44 	-1.95 	0.44 	0.64 
CASP1	 -0.01 	-0.09 	0.01 	1.63 
CASP3	 1.45 	-2.11 	-0.19 	0.19 
CAV1	 0.73 	-2.44 	-0.28 	0.28 
CCL2	 0.11 	-3.21 	-0.11 	0.48 
CCL5	 -0.02 	-5.82 	0.02 	0.21 
CDH5	 1.52 	-2.57 	-0.08 	0.08 
CFLAR	 0.94 	-2.91 	-0.28 	0.28 
COL18A1	 0.86 	-5.47 	-0.08 	0.08 
CX3CL1	 -0.01 	-2.77 	0.01 	0.35 
EDN1	 1.04 	-2.67 	-0.10 	0.10 
EDN2	 0.26 	-1.05 	-0.26 	0.96 
EDNRA	 -3.67 	-1.10 	1.10 	1.28 
ENG	 0.93 	0.10 	-0.38 	-0.10 
F2R	 1.89 	-2.12 	-0.15 	0.15 
F3	 0.07 	-2.48 	-0.07 	1.11 
FAS	 0.10 	-2.04 	-0.10 	0.13 
FASLG	 0.02 	-1.26 	-0.02 	2.70 
FGF1	 -4.70 	-1.35 	1.35 	1.53 
FGF2	 0.07 	-0.69 	-0.07 	0.33 
FLT1	 -2.60 	0.22 	-0.22 	0.22 
FN1	 -0.56 	-2.19 	0.56 	0.97 
HIF1A	 0.20 	-2.51 	-0.20 	0.31 
HMOX1	 3.92 	-3.25 	-0.08 	0.08 
ICAM1	 1.99 	-2.66 	-0.24 	0.24 
IL11	 -0.20 	-0.12 	0.12 	1.47 
IL1B	 -0.60 	-2.70 	0.60 	1.44 
IL3	 -2.49 	-0.30 	0.30 	1.05 
IL6	 2.88 	-0.59 	-0.40 	0.40 
IL7	 0.07 	-0.11 	-0.07 	0.80 
ITGA5	 0.49 	-3.53 	-0.02 	0.02 
ITGAV    0.98 	-3.06 	-0.17 	0.17 
ITGB1	 0.51 	-2.67 	-0.22 	0.22 
ITGB3	 1.62 	-3.18 	-0.22 	0.22 
KDR	 -2.04 	0.94 	-0.02 	0.02 
KIT	 1.49 	-2.54 	-0.11 	0.11 
KLK3	 -0.07 	-1.47 	0.07 	0.92 
MMP1	 1.22 	-0.25 	-0.35 	0.25 
MMP2	 0.62 	-2.13 	-0.12 	0.12 
MMP9	 -0.08 	-2.78 	0.08 	0.21 
NOS3	 3.26 	-2.53 	-0.17 	0.17 
NPPB	 1.00 	-0.44 	-0.10 	0.10 
NPR1	 -0.18 	-2.41 	0.18 	0.55 
OCLN	 0.24 	-3.94 	-0.24 	0.34 
PDGFRA	 -3.12 	-1.47 	1.47 	2.69 
PECAM1	 -2.67 	0.67 	-0.06 	0.06 
PF4	 -2.05 	-0.53 	0.53 	1.11 
PGF	 -1.60 	0.73 	0.01 	-0.01 
PLAT	 -0.66 	-4.80 	0.66 	0.85 
PLAU	 4.57 	-3.11 	-0.39 	0.39 
PLG	 -1.29 	-0.79 	0.79 	1.23 
PROCR	 3.02 	-2.80 	-0.27 	0.27 
PTGIS	 0.55 	-2.14 	-0.14 	0.14 
PTGS2	 1.89 	-3.54 	-0.18 	0.18 
PTK2	 1.25 	-2.59 	-0.29 	0.29 
SELE	 0.39 	-3.39 	-0.39 	0.54 
SELL	 1.19 	-3.73 	0.07 	-0.07 
SELPLG	 1.27 	-1.80 	-0.27 	0.27 
SERPINE1 0.95 	-2.44 	-0.18 	0.18 
SOD1	 1.40 	-2.14 	-0.34 	0.34 
SPHK1	 0.73 	-2.35 	-0.09 	0.09 
TEK	 1.72 	-2.53 	-0.16 	0.16 
TFPI	 1.81 	-1.93 	-0.11 	0.11 
TGFB1	 0.83 	-2.59 	-0.16 	0.16 
THBD	 1.94 	-2.32 	-0.51 	0.51 
THBS1	 0.93 	-3.35 	-0.10 	0.10 
TIMP1	 -3.57 	-1.34 	1.34 	1.83 
TNF	 -0.08 	-2.29 	0.08 	0.76 
TNFSF10	 -0.02 	-2.95 	0.02 	0.07 
TYMP	 -0.67 	-1.43 	0.67 	0.77 
VCAM1	 0.63 	-1.92 	-0.63 	0.83 
VEGFA	 -1.39 	-0.38 	0.38 	0.84 
VWF	 -2.50 	-0.38 	0.38 	0.73 
