	1.00 	2.00 	3.00 
A01	24.18 	22.32 	22.20 
A02	21.92 	26.49 	23.60 
A03	32.74 	31.60 	29.86 
A04	27.37 	30.17 	26.49 
A05	29.64 	34.51 	29.92 
A06	24.82 	29.95 	23.88 
A07	18.46 	22.50 	18.64 
A08	30.48 	33.98 	31.62 
A09	20.14 	23.97 	21.40 
A10	28.10 	30.26 	28.69 
A11	21.54 	24.67 	22.56 
A12	33.49 	35.00 	32.42 
B01	25.55 	25.63 	23.91 
B02	21.92 	25.48 	23.19 
B03	17.37 	20.55 	17.82 
B04	20.33 	23.65 	19.96 
B05	28.81 	34.61 	28.58 
B06	18.31 	22.41 	19.75 
B07	20.98 	24.83 	21.64 
B08	19.21 	25.53 	19.99 
B09	27.51 	30.27 	27.15 
B10	18.76 	22.47 	19.70 
B11	33.69 	35.00 	32.99 
B12	30.21 	27.64 	25.26 
C01	18.13 	18.97 	19.17 
C02	18.74 	22.76 	20.49 
C03	29.27 	31.82 	28.23 
C04	23.63 	25.78 	23.61 
C05	33.58 	34.87 	30.91 
C06	30.70 	27.35 	24.46 
C07	23.74 	24.50 	23.47 
C08	22.53 	25.35 	22.53 
C09	15.76 	17.39 	14.23 
C10	20.11 	22.81 	19.99 
C11	20.67 	27.83 	24.50 
C12	21.61 	26.25 	23.36 
D01	29.80 	29.73 	28.14 
D02	30.91 	33.01 	28.87 
D03	37.02 	34.83 	33.48 
D04	24.18 	27.65 	26.66 
D05	31.80 	31.98 	31.07 
D06	18.62 	22.64 	19.09 
D07	19.60 	23.63 	20.40 
D08	17.45 	20.64 	17.75 
D09	21.81 	26.61 	23.21 
D10	19.97 	22.95 	20.89 
D11	22.67 	26.70 	24.05 
D12	33.60 	35.00 	32.61 
E01	18.25 	19.71 	19.22 
E02	19.14 	21.89 	19.64 
E03	31.28 	33.98 	30.99 
E04	22.36 	28.15 	25.44 
E05	31.56 	33.00 	32.45 
E06	25.89 	28.13 	25.16 
E07	25.15 	29.33 	25.05 
E08	29.66 	28.00 	23.85 
E09	19.84 	23.18 	20.46 
E10	35.00 	33.48 	31.84 
E11	20.75 	23.08 	21.49 
E12	24.74 	28.87 	23.22 
F01	20.99 	28.67 	25.17 
F02	35.00 	34.50 	32.48 
F03	19.22 	25.04 	21.97 
F04	26.22 	28.91 	26.63 
F05	24.09 	29.53 	25.80 
F06	20.82 	24.66 	21.78 
F07	25.19 	28.97 	25.04 
F08	25.96 	30.89 	27.22 
F09	28.49 	31.56 	29.49 
F10	15.13 	18.51 	15.89 
F11	20.80 	24.35 	21.87 
F12	21.98 	25.07 	22.62 
G01	21.65 	25.90 	23.21 
G02	18.63 	22.37 	20.32 
G03	19.75 	23.17 	20.42 
G04	24.99 	29.26 	26.42 
G05	15.08 	19.36 	15.90 
G06	21.60 	19.37 	16.19 
G07	32.79 	35.00 	31.96 
G08	22.89 	25.81 	22.80 
G09	28.29 	29.04 	26.85 
G10	23.96 	26.51 	23.76 
G11	23.69 	24.70 	22.47 
G12	19.24 	21.36 	18.13 
H01	14.29 	17.80 	14.84 
H02	17.61 	19.71 	17.53 
H03	16.25 	19.53 	16.15 
H04	23.46 	27.54 	24.59 
H05	16.62 	19.46 	17.07 
H06	35.00 	35.00 	35.00 
H07	35.00 	35.00 	35.00 
H08	35.00 	35.00 	35.00 
H09	35.00 	35.00 	35.00 
H10	18.83 	21.98 	19.02 
H11	18.84 	22.09 	18.99 
H12	18.94 	22.42 	19.05 
